n_estimators,learning_rate,max_depth,lambda_l1,lambda_l2,train_acc,val_acc,start_time,end_time,training_time
20,0.1,3,0.0,0.001,0.805625,0.7325,2025-01-05 13:25:10,2025-01-05 13:26:06,56.137417793273926
20,0.1,3,0.0,0.01,0.793125,0.725,2025-01-05 13:25:10,2025-01-05 13:26:07,56.37126612663269
20,0.1,3,0.001,0.01,0.793125,0.725,2025-01-05 13:25:11,2025-01-05 13:26:07,56.18005061149597
20,0.1,3,0.001,0.0,0.805625,0.7325,2025-01-05 13:25:10,2025-01-05 13:26:07,56.63760495185852
20,0.1,3,0.001,0.001,0.805625,0.7325,2025-01-05 13:25:11,2025-01-05 13:26:07,56.35417103767395
20,0.1,3,0.01,0.001,0.7925,0.7225,2025-01-05 13:25:11,2025-01-05 13:26:07,56.27219247817993
20,0.1,3,0.01,0.0,0.805,0.73,2025-01-05 13:25:11,2025-01-05 13:26:07,56.57415246963501
20,0.1,3,0.01,0.01,0.791875,0.7225,2025-01-05 13:25:12,2025-01-05 13:26:08,56.329012870788574
20,0.05,5,0.0,0.001,0.488125,0.4825,2025-01-05 13:24:45,2025-01-05 13:26:13,87.60866332054138
20,0.05,5,0.0,0.0,0.488125,0.4875,2025-01-05 13:24:45,2025-01-05 13:26:13,87.96628475189209
20,0.05,5,0.001,0.001,0.4875,0.4825,2025-01-05 13:24:46,2025-01-05 13:26:13,87.27846693992615
20,0.05,5,0.001,0.0,0.488125,0.4875,2025-01-05 13:24:46,2025-01-05 13:26:14,87.59614610671997
20,0.05,5,0.01,0.0,0.486875,0.4825,2025-01-05 13:24:47,2025-01-05 13:26:14,87.78286623954773
20,0.05,5,0.0,0.01,0.486875,0.48,2025-01-05 13:24:46,2025-01-05 13:26:15,88.9981997013092
20,0.05,5,0.01,0.001,0.486875,0.4825,2025-01-05 13:24:47,2025-01-05 13:26:15,87.89801287651062
20,0.05,5,0.001,0.01,0.486875,0.4775,2025-01-05 13:24:47,2025-01-05 13:26:15,88.00062394142151
20,0.05,5,0.01,0.01,0.48625,0.4775,2025-01-05 13:24:47,2025-01-05 13:26:15,87.87891244888306
20,0.1,5,0.0,0.0,0.898125,0.8175,2025-01-05 13:26:05,2025-01-05 13:27:33,87.86148858070374
20,0.1,5,0.0,0.001,0.896875,0.8175,2025-01-05 13:26:06,2025-01-05 13:27:34,87.51353430747986
20,0.1,5,0.0,0.01,0.891875,0.81,2025-01-05 13:26:07,2025-01-05 13:27:34,87.2625789642334
20,0.1,5,0.001,0.001,0.89625,0.8175,2025-01-05 13:26:07,2025-01-05 13:27:34,87.3519937992096
20,0.1,5,0.01,0.001,0.89375,0.81,2025-01-05 13:26:07,2025-01-05 13:27:34,86.99470829963684
20,0.1,5,0.01,0.0,0.89375,0.81,2025-01-05 13:26:07,2025-01-05 13:27:34,87.22773623466492
20,0.1,5,0.001,0.01,0.891875,0.81,2025-01-05 13:26:07,2025-01-05 13:27:34,87.41980290412903
20,0.1,5,0.01,0.01,0.8875,0.805,2025-01-05 13:26:08,2025-01-05 13:27:35,86.94132447242737
20,0.1,5,0.001,0.0,0.8975,0.8175,2025-01-05 13:26:07,2025-01-05 13:27:35,88.21178030967712
50,0.05,3,0.0,0.001,0.871875,0.81,2025-01-05 13:26:13,2025-01-05 13:28:31,138.22710919380188
50,0.05,3,0.0,0.0,0.874375,0.8175,2025-01-05 13:26:13,2025-01-05 13:28:32,138.83638501167297
50,0.05,3,0.001,0.0,0.87125,0.8125,2025-01-05 13:26:14,2025-01-05 13:28:32,138.16301131248474
50,0.05,3,0.001,0.01,0.86,0.805,2025-01-05 13:26:15,2025-01-05 13:28:32,137.59325909614563
50,0.05,3,0.0,0.01,0.86,0.805,2025-01-05 13:26:13,2025-01-05 13:28:33,139.1645872592926
50,0.05,3,0.01,0.0,0.864375,0.8075,2025-01-05 13:26:15,2025-01-05 13:28:33,138.08020663261414
50,0.05,3,0.001,0.001,0.869375,0.81,2025-01-05 13:26:14,2025-01-05 13:28:33,138.63160014152527
