n_estimators,learning_rate,max_depth,lambda_l1,lambda_l2,train_acc,val_acc,start_time,end_time,training_time
10,0.05,7,0.01,0.0,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:49,55.37771964073181
10,0.05,7,0.01,0.01,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:49,55.71759653091431
10,0.05,7,0.001,0.001,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:49,56.182899713516235
10,0.05,7,0.001,0.01,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:50,56.561641693115234
10,0.05,7,0.0,0.01,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:50,56.647085189819336
10,0.05,7,0.01,0.001,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:50,56.70419931411743
10,0.05,7,0.0,0.001,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:50,56.827717304229736
10,0.05,7,0.001,0.0,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:50,56.99593544006348
10,0.05,7,0.0,0.0,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:50,56.99093723297119
10,0.05,9,0.0,0.01,0.254375,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:55,61.438857316970825
10,0.05,9,0.001,0.01,0.255,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:55,61.8100368976593
10,0.05,9,0.001,0.0,0.254375,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:56,62.322375774383545
10,0.05,9,0.01,0.01,0.254375,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:56,62.52588772773743
10,0.05,9,0.01,0.0,0.254375,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:56,62.51135206222534
10,0.05,9,0.001,0.001,0.254375,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:56,62.6319694519043
10,0.05,9,0.01,0.001,0.254375,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:56,63.09025859832764
10,0.05,9,0.0,0.0,0.255,0.2675,2025-01-05 13:36:53,2025-01-05 13:37:56,63.179951667785645
10,0.05,9,0.0,0.001,0.254375,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:57,63.46390771865845
10,0.1,7,0.0,0.001,0.495,0.4775,2025-01-05 13:37:49,2025-01-05 13:38:47,57.969467639923096
10,0.1,7,0.0,0.01,0.494375,0.475,2025-01-05 13:37:49,2025-01-05 13:38:47,57.6387083530426
10,0.1,7,0.0,0.0,0.495,0.48,2025-01-05 13:37:49,2025-01-05 13:38:47,58.74740123748779
10,0.1,7,0.001,0.001,0.495,0.4775,2025-01-05 13:37:50,2025-01-05 13:38:48,57.80017971992493
10,0.1,7,0.001,0.0,0.495,0.4775,2025-01-05 13:37:50,2025-01-05 13:38:48,58.113739013671875
10,0.1,7,0.01,0.0,0.495,0.4775,2025-01-05 13:37:50,2025-01-05 13:38:48,57.910162925720215
10,0.1,7,0.001,0.01,0.494375,0.475,2025-01-05 13:37:50,2025-01-05 13:38:48,58.211188554763794
10,0.1,7,0.01,0.01,0.49375,0.4725,2025-01-05 13:37:50,2025-01-05 13:38:48,58.151442527770996
10,0.1,7,0.01,0.001,0.495,0.475,2025-01-05 13:37:50,2025-01-05 13:38:49,58.73809266090393
10,0.1,9,0.001,0.001,0.5,0.4625,2025-01-05 13:37:56,2025-01-05 13:38:59,62.86541390419006
10,0.1,9,0.0,0.001,0.5,0.4625,2025-01-05 13:37:55,2025-01-05 13:38:59,63.61335015296936
